,title,body,user
1211,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
1212,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
1213,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
1214,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
1215,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
1216,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
1217,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
1218,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
1219,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
1220,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
1221,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
1222,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
1223,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
1224,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
1225,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
1226,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
1227,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
1228,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
1229,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
1230,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
1231,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
1232,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
1233,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
1234,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
1235,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
1236,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
1237,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
1238,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
1239,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
1240,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
1241,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
1242,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
1243,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
1244,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
1245,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
1246,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
1247,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
1248,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
1249,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
1250,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
1251,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
1252,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
1253,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
1254,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
1255,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
1256,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
1257,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
1258,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
1259,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
1260,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
1261,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
1262,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
1263,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
1264,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
1265,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
1266,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
1267,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
1268,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
1269,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
1270,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
1271,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
1272,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
1273,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
1274,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
1275,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
1276,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
1277,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
1278,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
1279,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
1280,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
1281,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
1282,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
1283,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
1284,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
1285,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
1286,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
1287,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
1288,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
1289,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
1290,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
